name,baseline_wer,baseline_cer,baseline_pmr,baseline_bleu,baseline_cosine,baseline_indobert,final_symspell_wer,final_symspell_cer,final_symspell_pmr,final_symspell_bleu,final_symspell_cosine,final_symspell_indobert,final_llm_wer,final_llm_cer,final_llm_pmr,final_llm_bleu,final_llm_cosine,final_llm_indobert,baseline_indobert_P,baseline_indobert_R,baseline_indobert_F1,final_symspell_indobert_P,final_symspell_indobert_R,final_symspell_indobert_F1,final_llm_indobert_P,final_llm_indobert_R,final_llm_indobert_F1,baseline_jw,final_symspell_jw,final_llm_jw
522,0.1612903225806451,0.1132947976878612,0.2903225806451613,0.8387089112846546,0.9283641733946212,"(0.9131332635879517, 0.9442889094352722, 0.928449809551239)",0.064516129032258,0.0335260115606936,0.2975206611570248,0.8990105604421996,0.972525245764512,"(0.9586562514305115, 0.9712709188461304, 0.9649223685264587)",0.064516129032258,0.0312138728323699,0.3032786885245901,0.8990697539113295,0.9827327111656023,"(0.9803768992424011, 0.9753679037094116, 0.977865993976593)",0.9131332635879515,0.9442889094352722,0.928449809551239,0.9586562514305116,0.9712709188461304,0.9649223685264589,0.9803768992424012,0.9753679037094116,0.977865993976593,0.9200778866658292,0.9292906263025478,0.9290550676482441
479,21.23076923076923,16.63186813186813,0.0,0.0018058902152045,0.0120086361952011,"(0.3306380808353424, 0.42230814695358276, 0.370892733335495)",1.0,0.8021978021978022,0.0,0.0,0.0,"(0.3634084463119507, 0.37184950709342957, 0.36758050322532654)",1.0,0.8131868131868132,0.0,0.0,0.0,"(0.36423352360725403, 0.3655880391597748, 0.36490949988365173)",0.3306380808353424,0.4223081469535827,0.370892733335495,0.3634084463119507,0.3718495070934295,0.3675805032253265,0.364233523607254,0.3655880391597748,0.3649094998836517,0.5134288482159771,0.602411794719487,0.6032762109685187
528,1.1666666666666667,0.8858954041204438,0.3627450980392157,0.4075039151387549,0.7093661770343385,"(0.5526434183120728, 0.788463294506073, 0.64982008934021)",0.1274509803921568,0.1236133122028526,0.6770833333333334,0.8394006845929011,0.93860817711153,"(0.9472967386245728, 0.9506863355636597, 0.9489884972572327)",0.1176470588235294,0.1220285261489698,0.6875,0.8493500203156521,0.93860817711153,"(0.9514400362968445, 0.9529650807380676, 0.9522019028663635)",0.5526434183120728,0.788463294506073,0.64982008934021,0.9472967386245728,0.9506863355636596,0.9489884972572328,0.9514400362968444,0.9529650807380676,0.9522019028663636,0.8411606703811332,0.9162116826765611,0.9169804051576705
365,0.3626943005181347,0.2943313953488372,0.005181347150259,0.7104685673392305,0.931200035118078,"(0.8656865954399109, 0.9295729398727417, 0.8964930772781372)",0.0569948186528497,0.0595930232558139,0.005181347150259,0.928272872649132,0.987053649860751,"(0.9405235052108765, 0.9671791791915894, 0.9536650776863098)",0.1088082901554404,0.0646802325581395,0.0103626943005181,0.8274194021633645,0.9543825478324808,"(0.9351310133934021, 0.9569826126098633, 0.9459306001663208)",0.8656865954399109,0.9295729398727416,0.8964930772781372,0.9405235052108764,0.9671791791915894,0.9536650776863098,0.935131013393402,0.9569826126098632,0.9459306001663208,0.7716014839172599,0.8311941197918888,0.8295287814168075
478,1.1278195488721805,1.4131147540983606,0.0,0.4489182820949649,0.6295504342543802,"(0.6963430047035217, 0.7169560790061951, 0.7064992189407349)",0.0075187969924812,0.0010928961748633,0.9924812030075189,0.9808766462985948,0.995194496517434,"(0.9955625534057617, 0.9964922666549683, 0.9960271716117859)",0.0150375939849624,0.0043715846994535,0.9849624060150376,0.961673662702593,0.9748286230145854,"(0.9950908422470093, 0.9946269989013672, 0.9948589205741882)",0.6963430047035217,0.7169560790061951,0.7064992189407349,0.9955625534057616,0.9964922666549684,0.996027171611786,0.9950908422470092,0.9946269989013672,0.9948589205741882,0.6426818105357687,0.9919041982040152,0.912600617696682
482,1.7986111111111112,1.5344488188976375,0.0,0.3435318245856509,0.4421601901176368,"(0.5585110187530518, 0.5306280851364136, 0.5442126393318176)",0.0,0.0,1.0,1.0,0.9999999999999998,"(1.0, 1.0, 1.0)",0.0069444444444444,0.0019685039370078,0.9930555555555556,0.98236104569917,0.9937086389670914,"(0.9871715307235718, 0.9842634201049805, 0.9857153296470642)",0.5585110187530518,0.5306280851364136,0.5442126393318176,1.0,1.0,1.0,0.9871715307235718,0.9842634201049804,0.9857153296470642,0.6235328987689971,1.0,0.9998031496062992
568,0.278969957081545,0.2812318419523533,0.1716738197424892,0.828602578476933,0.9742124289418796,"(0.9383869171142578, 0.9413859248161316, 0.9398840069770813)",0.2532188841201717,0.2655432887855897,0.1716738197424892,0.853106258084654,0.9763833078642729,"(0.9410505294799805, 0.9412959814071655, 0.941173255443573)",0.2360515021459227,0.273097036606624,0.223175965665236,0.9163970189037351,0.9969950731308832,"(0.9646358489990234, 0.9527232646942139, 0.9586425423622131)",0.9383869171142578,0.9413859248161316,0.9398840069770812,0.9410505294799804,0.9412959814071656,0.941173255443573,0.9646358489990234,0.952723264694214,0.9586425423622132,0.9154412754324991,0.9173008671822742,0.919460936468776
584,0.1339712918660287,0.1310104529616724,0.1483253588516746,0.915328894716452,0.9904850778094714,"(0.9443383812904358, 0.9508281946182251, 0.9475721716880798)",0.0765550239234449,0.0843205574912892,0.1527093596059113,0.9212115039816164,0.9919981304428444,"(0.9543455243110657, 0.9489932060241699, 0.9516618847846985)",0.062200956937799,0.0829268292682926,0.142156862745098,0.9504228774749002,0.995673852327651,"(0.9599938988685608, 0.9515026211738586, 0.9557294249534607)",0.9443383812904358,0.9508281946182252,0.9475721716880798,0.9543455243110656,0.94899320602417,0.9516618847846984,0.9599938988685608,0.9515026211738586,0.9557294249534608,0.9105939083076835,0.9111433417247258,0.9118267604619428
66,0.1289473684210526,0.1001440922190201,0.5421052631578948,0.8818588487476895,0.9748357116892284,"(0.980102002620697, 0.989311933517456, 0.9846854209899902)",0.0,0.0,1.0,1.0,1.0,"(1.0, 1.0, 1.0)",0.0,0.0,1.0,1.0,1.0,"(1.0, 1.0, 1.0)",0.980102002620697,0.989311933517456,0.9846854209899902,1.0,1.0,1.0,1.0,1.0,1.0,0.9389269328834108,1.0,1.0
652,0.0639730639730639,0.0255668113844669,0.2033898305084746,0.8918781344412817,0.975152510146354,"(0.9613364338874817, 0.9754467606544495, 0.9683402180671692)",0.0639730639730639,0.0361794500723589,0.2062937062937063,0.8913993017895855,0.9827887281378034,"(0.9732867479324341, 0.9705488085746765, 0.9719158411026001)",0.0471380471380471,0.0328027013989387,0.2048611111111111,0.921497688703116,0.9964016103475378,"(0.9781444668769836, 0.978623628616333, 0.9783840179443359)",0.9613364338874816,0.9754467606544496,0.9683402180671692,0.973286747932434,0.9705488085746764,0.9719158411026,0.9781444668769836,0.978623628616333,0.978384017944336,0.9230128675562252,0.9197583139353738,0.9195583190952856
